SMILES,Core_type
COc1cccc(C#N)c1Br,3取代苯
Oc1cccc(O)c1Cl,3取代苯
N#Cc1cc(Cl)cc(I)c1,3取代苯
Cc1cc(F)ccc1-c1ccccc1,3取代苯
N#Cc1cccc(Br)c1F,3取代苯
Cc1cc(Br)ccc1C#N,3取代苯
Cc1cc(C#N)cc(-c2ccccc2)c1,3取代苯
N#Cc1cc(F)ccc1-c1ccccc1,3取代苯
Brc1ccc(I)cc1I,3取代苯
N#Cc1c(I)cccc1I,3取代苯
N#Cc1cccc(Cl)c1I,3取代苯
Oc1cccc(-c2cccs2)c1Br,3取代苯
Cc1cccc(I)c1C#N,3取代苯
Clc1cc(Br)ccc1-c1ccccc1,3取代苯
COc1c(F)cccc1-c1ccccc1,3取代苯
COc1cc(O)cc(I)c1,3取代苯
N#Cc1cccc(I)c1Br,3取代苯
Cc1ccc(O)cc1C#N,3取代苯
Oc1cc(Br)cc(-c2ccccc2)c1,3取代苯
Fc1cc(Br)ccc1-c1cccs1,3取代苯
Oc1cc(O)cc(-c2cccs2)c1,3取代苯
Brc1c(I)cccc1-c1cccs1,3取代苯
Fc1ccc(Cl)c(Cl)c1,3取代苯
Cc1cc(-c2cccs2)cc(-c2cccs2)c1,3取代苯
Fc1cccc(I)c1Cl,3取代苯
COc1cc(F)ccc1Br,3取代苯
Clc1ccc(Br)cc1-c1cccs1,3取代苯
COc1cc(C)cc(F)c1,3取代苯
Cc1cc(I)cc(-c2ccccc2)c1,3取代苯
COc1cc(C)cc(C#N)c1,3取代苯
Cc1c(O)cccc1Cl,3取代苯
N#Cc1cc(F)cc(C#N)c1,3取代苯
Clc1ccc(Cl)c(Br)c1,3取代苯
COc1ccc(-c2ccccc2)cc1C#N,3取代苯
Ic1ccc(-c2cccs2)cc1-c1cccs1,3取代苯
N#Cc1c(Br)cccc1-c1cccs1,3取代苯
COc1cccc(C#N)c1Cl,3取代苯
COc1ccc(C#N)c(O)c1,3取代苯
Cc1ccc(Cl)c(Cl)c1,3取代苯
N#Cc1cc(Br)cc(-c2ccccc2)c1,3取代苯
Brc1ccc(Br)c(-c2ccccc2)c1,3取代苯
Oc1c(Cl)cccc1Cl,3取代苯
N#Cc1cccc(Cl)c1Br,3取代苯
N#Cc1cccc(Br)c1-c1cccs1,3取代苯
Cc1cc(O)cc(O)c1,3取代苯
COc1cccc(I)c1-c1cccs1,3取代苯
Clc1cccc(-c2ccccc2)c1Br,3取代苯
COc1cc(O)cc(-c2cccs2)c1,3取代苯
COc1ccc(-c2ccccc2)cc1-c1cccs1,3取代苯
COc1ccc(-c2cccs2)cc1I,3取代苯
Clc1cc(Cl)cc(I)c1,3取代苯
COc1c(C)cccc1Cl,3取代苯
COc1cc(C#N)cc(-c2cccs2)c1,3取代苯
COc1cc(O)ccc1F,3取代苯
Oc1cc(I)ccc1Br,3取代苯
Cc1cccc(Br)c1-c1cccs1,3取代苯
Oc1cccc(-c2ccccc2)c1I,3取代苯
Clc1cc(Cl)cc(Br)c1,3取代苯
Fc1cccc(-c2cccs2)c1-c1ccccc1,3取代苯
Cc1ccc(Cl)c(F)c1,3取代苯
COc1cccc(F)c1-c1cccs1,3取代苯
N#Cc1cc(Cl)cc(-c2ccccc2)c1,3取代苯
Cc1cccc(C#N)c1Cl,3取代苯
N#Cc1c(F)cccc1-c1ccccc1,3取代苯
Oc1cccc(-c2cccs2)c1O,3取代苯
COc1ccc(-c2cccs2)cc1-c1ccccc1,3取代苯
Cc1cccc(-c2ccccc2)c1O,3取代苯
Oc1cccc(Br)c1Br,3取代苯
N#Cc1ccc(O)c(-c2ccccc2)c1,3取代苯
COc1ccc(-c2cccs2)cc1Br,3取代苯
Oc1cccc(I)c1I,3取代苯
N#Cc1cc(-c2cccs2)ccc1-c1ccccc1,3取代苯
Cc1cc(Br)ccc1Cl,3取代苯
COc1ccc(O)cc1Br,3取代苯
Fc1ccc(Br)cc1-c1ccccc1,3取代苯
N#Cc1cccc(-c2cccs2)c1F,3取代苯
N#Cc1cccc(Br)c1O,3取代苯
Cc1cc(C)cc(-c2ccccc2)c1,3取代苯
Ic1cc(I)cc(-c2cccs2)c1,3取代苯
Oc1cccc(I)c1F,3取代苯
Cc1cc(Br)cc(-c2cccs2)c1,3取代苯
Cc1c(-c2cccs2)cccc1-c1cccs1,3取代苯
N#Cc1cccc(F)c1F,3取代苯
COc1cc(I)ccc1Br,3取代苯
