SMILES,Core_type,SAscore
Fc1c(Cl)cccc1I,3取代苯,2.2266491610717107
Cc1ccc(I)c(Cl)c1,3取代苯,2.035393391840941
Brc1cccc(I)c1-c1ccccc1,3取代苯,1.8642013549229084
COc1c(C#N)cccc1-c1ccccc1,3取代苯,1.7895317529403059
N#Cc1c(-c2ccccc2)cccc1-c1cccs1,3取代苯,1.9786297127552857
COc1cccc(Br)c1F,3取代苯,1.9278232128293595
COc1cccc(C)c1I,3取代苯,1.965736033342182
COc1cc(Br)cc(-c2cccs2)c1,3取代苯,1.9539036626152146
COc1cccc(I)c1-c1ccccc1,3取代苯,1.748552439018587
Clc1ccc(-c2ccccc2)c(I)c1,3取代苯,1.70216327799983
COc1cc(F)cc(OC)c1,3取代苯,1.5895187978356908
Oc1cc(Br)cc(Br)c1,3取代苯,2.307464545687095
Cc1c(Cl)cccc1-c1ccccc1,3取代苯,1.41589750876906
Fc1cc(F)cc(F)c1,3取代苯,1.5959916748480598
Cc1cc(O)ccc1-c1cccs1,3取代苯,1.9377083570774314
Cc1c(O)cccc1C#N,3取代苯,2.2030385974447437
Oc1c(Cl)cccc1-c1cccs1,3取代苯,2.0520588768279513
Fc1cccc(I)c1F,3取代苯,2.1576837764563255
Oc1cc(F)cc(F)c1,3取代苯,2.030991468764018
Brc1cc(Br)cc(-c2ccccc2)c1,3取代苯,1.653445585692138
COc1cc(Br)cc(I)c1,3取代苯,2.211582187188334
Clc1ccc(Br)c(-c2cccs2)c1,3取代苯,1.9545894381585125
COc1cccc(C)c1-c1cccs1,3取代苯,1.8747625087690611
Clc1ccc(-c2ccccc2)cc1Br,3取代苯,1.5499282779998307
N#Cc1cc(-c2ccccc2)cc(-c2ccccc2)c1,3取代苯,1.6570062777903942
Cc1cc(C#N)cc(-c2cccs2)c1,3取代苯,2.1237752010767537
Oc1cccc(Br)c1F,3取代苯,2.185947237994787
c1ccc(-c2ccc(-c3cccs3)cc2-c2cccs2)cc1,3取代苯,1.969126853690252
N#Cc1cccc(O)c1Br,3取代苯,2.4169411615473084
Fc1cccc(Br)c1-c1ccccc1,3取代苯,1.6539371241536767
N#Cc1ccc(-c2cccs2)c(-c2cccs2)c1,3取代苯,2.2641919136551945
c1ccc(-c2ccc(-c3cccs3)cc2-c2ccccc2)cc1,3取代苯,1.7136835856828636
Cc1ccc(I)c(Br)c1,3取代苯,2.1201895456870954
N#Cc1ccc(-c2ccccc2)c(I)c1,3取代苯,1.9122815982314663
Cc1cc(-c2ccccc2)cc(-c2cccs2)c1,3取代苯,1.7329620152517116
COc1cc(F)cc(Br)c1,3取代苯,1.7947514179575652
